,xinxi,cutted_xinxi
1214,天津市河北区天泰路与席厂下坡交口，虽设置了交通信号灯有很长时间了，但并未开启使用，希望有关部门开启交通信号灯投入使用,天津市 河北区 天泰路 与 席厂 下坡 交口 ， 虽 设置 了 交通 信号灯 有 很 长时间 了 ， 但 并未 开启 使用 ， 希望 有关 部门 开启 交通 信号灯 投入使用
1215,滨海新区用户超市塘沽万达店。在散装干果区记者看到，摊位上陈列着松子、开心果等干果，并且立着一块“文明购物 请勿品尝”的提示牌。然而，有七八位顾客一边挑选，一边将干果剥开塞进自己的嘴里。其中，一位银发大娘站在松子摊位前吃了近二十分钟。一位中年妇女则将花生糖塞进嘴里品尝，还从售卖冰糖的摊位上拣了一大块冰糖塞进嘴里，这才满意地离开。,滨海新区 用户 超市 塘沽 万达 店 。 在 散装 干果 区 记者 看到 ， 摊位 上 陈列 着 松子 、 开心果 等 干果 ， 并且 立着 一块 “ 文明 购物   请勿 品尝 ” 的 提示牌 。 然而 ， 有 七八位 顾客 一边 挑选 ， 一边 将 干果 剥开 塞进 自己 的 嘴里 。 其中 ， 一位 银发 大娘 站 在 松子 摊位 前 吃 了 近 二十分钟 。 一位 中年妇女 则 将 花生糖 塞进 嘴里 品尝 ， 还 从 售卖 冰糖 的 摊位 上 拣 了 一大块 冰糖 塞进 嘴里 ， 这才 满意 地 离开 。
1216,在和平区荣业大街与荣安大街交口处，其中一个方向的红绿灯出现故障，导致不少车辆在此处急刹车，十分危险。一般的红绿灯在绿灯行将结束时会闪烁三秒，随后会有三秒的黄灯，再变为红灯。但这个路口有一个方向的信号灯，绿灯在闪烁三秒后却直接变成了三秒的红灯，三秒红灯读完后，又变成了三秒的黄灯，黄灯过后才是几十秒的红灯。,在 和平区 荣业 大街 与 荣安 大街 交口 处 ， 其中 一个 方向 的 红绿灯 出现 故障 ， 导致 不少 车辆 在 此处 急刹车 ， 十分 危险 。 一般 的 红绿灯 在 绿灯 行将 结束 时会 闪烁 三秒 ， 随后 会 有 三秒 的 黄灯 ， 再 变为 红灯 。 但 这个 路口 有 一个 方向 的 信号灯 ， 绿灯 在 闪烁 三秒 后 却 直接 变成 了 三秒 的 红灯 ， 三秒 红灯 读完 后 ， 又 变成 了 三秒 的 黄灯 ， 黄灯 过后 才 是 几十秒 的 红灯 。
1217,据群众反应满江东道与祁连路交口往东，市场门口，经常车辆占用第一第二车道，影响道路通行，望有关部门治理,据 群众 反应 满 江东 道 与 祁连 路 交口 往东 ， 市场 门口 ， 经常 车辆 占用 第一第二 车道 ， 影响 道路 通行 ， 望 有关 部门 治理
1218,据群众反应在屿东城地铁站有一名男子大约四十岁左右 经常在地铁站门口毁坏小黄车车辆 希望有关部门查处,据 群众 反应 在 屿 东城 地铁站 有 一名 男子 大约 四十岁 左右   经常 在 地铁站 门口 毁坏 小 黄车 车辆   希望 有关 部门 查处
1219,据群众反映，在天津站前广场附近的鑫龙门便利店，倒票人公然代购成沓火车票，毫不遮掩，而每张火车票需加价100元。鑫龙门便利店工作人员表示，每天经手数百张票。而在便利店柜台上就公然摆着多本用来装火车票的文件夹，天津去往全国各地的票都有。希望有关部门加强管理。,据 群众反映 ， 在 天津站 前 广场 附近 的 鑫 龙门 便利店 ， 倒票 人 公然 代购 成沓 火车票 ， 毫不 遮掩 ， 而 每张 火车票 需 加价 100 元 。 鑫 龙门 便利店 工作人员 表示 ， 每天 经手 数百张 票 。 而 在 便利店 柜台 上 就 公然 摆着 多本 用来 装 火车票 的 文件夹 ， 天津 去往 全国 各地 的 票 都 有 。 希望 有关 部门 加强 管理 。
1220,据群众反映，在和平区滨江道上发现四名中年妇女，形迹可疑，发现该四人进入多个服装店，有二人望风，二人进入服装店进行盗窃，望有关部门予以治理。,据 群众反映 ， 在 和平区 滨江道 上 发现 四名 中年妇女 ， 形迹可疑 ， 发现 该四人 进入 多个 服装店 ， 有 二人 望风 ， 二人 进入 服装店 进行 盗窃 ， 望 有关 部门 予以 治理 。
1221,西青区江湾路富力津门湖嘉郡花园附近的停车场，存在乱收费现象，而且一样的停车场，收费截然不同，望有关部门抓紧治理，杜绝乱收费现象,西青区 江湾 路富力 津门 湖嘉郡 花园 附近 的 停车场 ， 存在 乱收费 现象 ， 而且 一样 的 停车场 ， 收费 截然不同 ， 望 有关 部门 抓紧 治理 ， 杜绝 乱收费 现象
1222,据群众反应在屿东城地铁站有一名男子大约四十岁左右 经常在地铁站门口毁坏小黄车车辆 希望有关部门查处,据 群众 反应 在 屿 东城 地铁站 有 一名 男子 大约 四十岁 左右   经常 在 地铁站 门口 毁坏 小 黄车 车辆   希望 有关 部门 查处
1223,北辰区果园中路人行道上地砖凸起现象严重，向有关部门反馈后也没有回应，年迈者走在上面容易摔倒，且影响市容。,北辰区 果园 中路 人行道 上 地砖 凸起 现象 严重 ， 向 有关 部门 反馈 后 也 没有 回应 ， 年迈 者 走 在 上面 容易 摔倒 ， 且 影响 市容 。
1224,天津南开区石泉里小区私搭乱盖现象非常严重，影响居民出行，对市容有很大程度上的影响，希望有关领导能够关注一下！,天津 南开区 石泉 里 小区 私 搭 乱盖 现象 非常 严重 ， 影响 居民 出行 ， 对 市容 有 很大 程度 上 的 影响 ， 希望 有关 领导 能够 关注 一下 ！
1225,天津河北区重光东里社区违章建筑，越来越大，从原来的的圈占，变成了现在的“后花园”，希望有关部门能够治理。,天津 河北区 重光 东 里 社区 违章建筑 ， 越来越 大 ， 从 原来 的 的 圈占 ， 变成 了 现在 的 “ 后花园 ” ， 希望 有关 部门 能够 治理 。
1226,天津市河东区中山门龙潭路道路两侧乱停车便道上也都是停的私家车行人都没法有请有关部门处理,天津市 河东区 中山门 龙潭 路 道路 两侧 乱 停车 便 道 上 也 都 是 停 的 私家车 行人 都 没法 有 请 有关 部门 处理
1227,天津市河东区十二经路与津塘路交口干休所大门口对面掉线掉落容易出现事故请有关部门处理,天津市 河东区 十二 经路 与 津塘路 交口 干休所 大门口 对面 掉线 掉落 容易 出现 事故 请 有关 部门 处理
1228,河东区文宫里小区公共区域人工破坏，废弃车棚占用公共区域，里面被人塞满垃圾，楼宇前后处处是树叶等可燃物，非常容易酿成火灾。没有消防通道，车辆乱停乱放人员车辆进出困难，一旦发生火灾会造成大量人员伤亡，请有关部门关注。,河东区 文 宫里 小区 公共 区域 人工 破坏 ， 废弃 车棚 占用 公共 区域 ， 里面 被 人 塞满 垃圾 ， 楼宇 前后 处处 是 树叶 等 可燃物 ， 非常容易 酿成 火灾 。 没有 消防通道 ， 车辆 乱 停 乱放 人员 车辆 进出 困难 ， 一旦 发生 火灾 会 造成 大量 人员伤亡 ， 请 有关 部门 关注 。
1229,由于新地铁线在建，因此贺兰路改为全天由南向北单向行驶。原本本来就狭窄的道路，改为单向是好事，可是全天单路被违章车辆占道，特别是人行便道和盲道，晚间和周末尤为严重。请相关单位关注。,由于 新 地铁线 在建 ， 因此 贺兰 路 改为 全天 由南向北 单向行驶 。 原本 本来 就 狭窄 的 道路 ， 改为 单向 是 好事 ， 可是 全天 单路 被 违章 车辆 占 道 ， 特别 是 人行 便 道 和 盲道 ， 晚间 和 周末 尤为 严重 。 请 相关 单位 关注 。
1230,河东区和睦息道中山门北里有一个大众浴池，每天从早晨6点至23:00开始运水，运水车在和睦西道导致车辆拥堵以外，由于天气寒冷，运水车在运输过程中由于漏水导致道路结冰，长期没人管理，给周围居民出行带来很到困扰。且此大众浴池为无照经营，已经多次反映相关部门（工商部、环境管理等部门）均无人管理。,河东区 和睦 息道 中山门 北里 有 一个 大众 浴池 ， 每天 从 早晨 6 点至 23 : 00 开始 运水 ， 运 水车 在 和睦 西道 导致 车辆 拥堵 以外 ， 由于 天气 寒冷 ， 运 水车 在 运输 过程 中 由于 漏水 导致 道路 结冰 ， 长期 没 人 管理 ， 给 周围 居民 出行 带来 很到 困扰 。 且 此 大众 浴池 为 无照经营 ， 已经 多次 反映 相关 部门 （ 工商部 、 环境 管理 等 部门 ） 均 无人 管理 。
1231,天津市津南区双港新盈庄园小区，28号楼1电梯下次年检时间为2017年1月；消防设施玻璃申请半年多至今未装；垃圾许久不清理，物业费与电梯捆绑 ！物业不履行相应的服务和质量，业主选择不缴纳物业费，物业停电梯卡 ，不让上楼，望有关部门加强管理。,天津市 津南区 双港 新盈 庄园 小区 ， 28 号楼 1 电梯 下次 年检 时间 为 2017 年 1 月 ； 消防设施 玻璃 申请 半年 多 至今 未装 ； 垃圾 许久 不 清理 ， 物业费 与 电梯 捆绑   ！ 物业 不 履行 相应 的 服务 和 质量 ， 业主 选择 不 缴纳 物业费 ， 物业 停 电梯 卡   ， 不让 上楼 ， 望 有关 部门 加强 管理 。
1232,西康路沙市道公交站前，貌似是哪个单位发年货，都来领，占了两条道，公交进不了站，还有两辆车停在了路口人行道处，对面车道调头也不好调。给过往行人和车辆带来很大得安全隐患。,西康 路 沙市 道 公交站 前 ， 貌似 是 哪个 单位 发 年货 ， 都 来 领 ， 占 了 两条 道 ， 公交 进不了 站 ， 还有 两辆车 停 在 了 路口 人行道 处 ， 对面 车道 调头 也 不好 调 。 给 过往行人 和 车辆 带来 很大 得 安全隐患 。
1233,据很多干警同志反应提议，每年民警装备订单中应该增加冬天穿的绒里皮鞋，介于单皮鞋与毛皮鞋之间，比单鞋暖和，比毛皮鞋轻便。实用行更强。,据 很多 干警 同志 反应 提议 ， 每年 民警 装备 订单 中 应该 增加 冬天 穿 的 绒里 皮鞋 ， 介于 单 皮鞋 与 毛 皮鞋 之间 ， 比 单鞋 暖和 ， 比毛 皮鞋 轻便 。 实用 行更强 。
1234,我是住在南开区华苑居华里28号楼1门的业主。近日有人员（可能是地下室租住人员）将一楼楼道当成废品仓库，堆积了大量折叠好的纸箱子和大量塑料瓶。请综治等部门予以清理。,我 是 住 在 南开区 华苑 居 华里 28 号楼 1 门 的 业主 。 近日 有 人员 （ 可能 是 地下室 租住 人员 ） 将 一楼 楼道 当成 废品 仓库 ， 堆积 了 大量 折叠 好 的 纸 箱子 和 大量 塑料瓶 。 请 综治 等 部门 予以 清理 。
1235,常州里34-35号楼院内杂物过多无人清理，特别是35号楼一侧本身就道路狭窄，居民堆放废旧家具等物品，极容易引发火灾事故，街道及物业多次张贴清理通知，但是后期却没有清理行动，希望还是要落到实际行动上。,常州 里 34 - 35 号楼 院内 杂物 过多 无人 清理 ， 特别 是 35 号楼 一侧 本身 就 道路 狭窄 ， 居民 堆放 废旧 家具 等 物品 ， 极容易 引发 火灾事故 ， 街道 及 物业 多次 张贴 清理 通知 ， 但是 后期 却 没有 清理 行动 ， 希望 还是 要 落到 实际行动 上 。
1236,在东丽区雪莲南路地道整条路长年路灯不亮，给居住在周围的老年人出行带来诸多安全隐患，反映多次也不能切实想办法解决此问题，推脱多个部门的责任，目前正是严冬这里晚上六点以后就黑了老年人不能出行，这里也是事故高发地带，未能收起相关部门的重视。2，在东丽区嘉春园这个小区周围也有多个成熟社区了，居然没有一个健康运动的公园和场所，在这里住的人们为这里的落后环境深感不满意。3、在嘉春园20号楼西侧有多个储油罐紧临小区，安全隐患极大，一但出问题会人命关天，况且这里放置这么多个储油罐与小区格格不入3,在 东丽区 雪莲 南路 地道 整条路 长年 路 灯不亮 ， 给 居住 在 周围 的 老年人 出行 带来 诸多 安全隐患 ， 反映 多次 也 不能 切实 想 办法 解决 此 问题 ， 推脱 多个 部门 的 责任 ， 目前 正是 严冬 这里 晚上 六点 以后 就 黑 了 老年人 不能 出行 ， 这里 也 是 事故 高发 地带 ， 未能 收起 相关 部门 的 重视 。 2 ， 在 东丽区 嘉 春园 这个 小区 周围 也 有 多个 成熟 社区 了 ， 居然 没有 一个 健康 运动 的 公园 和 场所 ， 在 这里 住 的 人们 为 这里 的 落后 环境 深感 不 满意 。 3 、 在 嘉 春园 20 号楼 西侧 有 多个 储油罐 紧临 小区 ， 安全隐患 极大 ， 一 但 出 问题 会 人命关天 ， 况且 这里 放置 这么 多个 储油罐 与 小区 格格不入 3
1237,路欣圆小区，上下班从小区骑车乘坐轻轨，从小区入口至变电所路与津塘路交口约一公里的一段路，多年以来一直没有路灯。????在秋冬季节晚上下班要完全摸黑骑行，存在特别大的安全隐患：一方面路过司机开车时不一定能看清路以及路上行人，容易引起交通事故；另一方面行人走在路上也容易绊倒，或者骑车看不清地上的坑洼或者障碍物。????附近这块地方比较偏僻，且位于河东区与东丽区交界处，多年来增设路灯求助无门，有关部门不作为。而欣圆小区毕竟也是十几年的小区了，居住人口多，然而配套设施一直不太完善，小区必经之路上最基本的路灯如果都不能安装的话，居民出行十分不便！！目前此段路只有中间的海中鲜批发市场前面（道路东侧）有几个路灯，为何商家门前有路灯？,路欣圆 小区 ， 上下班 从 小区 骑车 乘坐 轻轨 ， 从 小区 入口 至 变电所 路 与 津塘路 交口 约 一 公里 的 一段路 ， 多年 以来 一直 没有 路灯 。 ? ? ? ? 在 秋冬 季节 晚上 下班 要 完全 摸黑 骑行 ， 存在 特别 大 的 安全隐患 ： 一方面 路过 司机 开车 时 不 一定 能 看清 路 以及 路上行人 ， 容易 引起 交通事故 ； 另一方面 行人 走 在 路上 也 容易 绊倒 ， 或者 骑车 看不清 地上 的 坑洼 或者 障碍物 。 ? ? ? ? 附近 这块 地方 比较 偏僻 ， 且 位于 河东区 与 东丽区 交界处 ， 多年 来 增设 路灯 求助无门 ， 有关 部门 不 作为 。 而欣圆 小区 毕竟 也 是 十几年 的 小区 了 ， 居住 人口 多 ， 然而 配套 设施 一直 不太 完善 ， 小区 必经之路 上 最 基本 的 路灯 如果 都 不能 安装 的话 ， 居民 出行 十分 不便 ！ ！ 目前 此段 路 只有 中间 的 海中鲜 批发市场 前面 （ 道路 东侧 ） 有 几个 路灯 ， 为何 商家 门前 有 路灯 ？
1238,天津武清区福源道与泉汇路交口，经常有闯红灯现象，并且车速较快在明知前方红灯的情况下，依然不减速通过，给行人和机动车带来危险隐患。,天津 武清区 福源 道 与 泉 汇路 交口 ， 经常 有 闯红灯 现象 ， 并且 车速 较 快 在 明知 前方 红灯 的 情况 下 ， 依然 不 减速 通过 ， 给 行人 和 机动车 带来 危险 隐患 。
1239,天津市宁河区龙胤溪园小区，物业不整改，消防通道被私家车占上，一旦着火消防车根本进不来，严重影响小区居民生活安全。,天津市 宁河 区龙胤 溪园 小区 ， 物业 不 整改 ， 消防通道 被 私家车 占 上 ， 一旦 着火 消防车 根本 进不来 ， 严重 影响 小区 居民 生活 安全 。
1240,天津市河东区真理道家乐福超市旁边，乐爽洗浴中心二楼休息室，有坐台小姐提供卖淫服务,天津市 河东区 真理 道 家乐福 超市 旁边 ， 乐爽 洗浴 中心 二楼 休息室 ， 有 坐台 小姐 提供 卖淫 服务
1241,天津市河东区华龙道尚客棋牌会馆，里面有数台赌博机，存在大量现金赌博行为,天津市 河东区 华龙 道 尚客 棋牌 会馆 ， 里面 有数 台 赌博机 ， 存在 大量 现金 赌博 行为
1242,天津南开区中医药大学第一附属医院门口鞍山西道与玉皇路交口膜拜和ofo堆积如山，平时根本没有这么大的使用量，占用人行道和盲道已经很久了，极大的阻碍了大家的出行，行人只能从非机动车道通过，非常危险，希望有关部门及时处理。,天津 南开区 中医药大学 第一 附属 医院 门口 鞍山 西道 与 玉皇 路 交口 膜拜 和 ofo 堆积如山 ， 平时 根本 没有 这么 大 的 使用量 ， 占用 人行道 和 盲道 已经 很久 了 ， 极大 的 阻碍 了 大家 的 出行 ， 行人 只能 从 非机动车 道 通过 ， 非常 危险 ， 希望 有关 部门 及时处理 。
1243,据群众举报王串场一号路红珊瑚海鲜粥城旁边一家夜总会存在卖淫嫖娼，望有关部门治理,据 群众 举报 王 串场 一号 路 红珊瑚 海鲜 粥 城 旁边 一家 夜总会 存在 卖淫嫖娼 ， 望 有关 部门 治理
1244,北辰区多宜兴埠津围线长喜商贸街长喜休闲会馆提供卖淫嫖娼服务，隐藏极为隐蔽，长期有组织的卖淫活动。里面出入的人很多，对当地影响极大。,北辰区 多 宜兴 埠 津 围线 长喜 商贸 街长 喜 休闲 会馆 提供 卖淫嫖娼 服务 ， 隐藏 极为 隐蔽 ， 长期 有 组织 的 卖淫 活动 。 里面 出入 的 人 很多 ， 对 当地 影响 极大 。
1245,大寺镇梨双路与榆林路交口龙都KTV内存在卖淫等行为，望有关部门关注,大寺 镇 梨 双路 与 榆林 路 交口 龙 都 KTV 内 存在 卖淫 等 行为 ， 望 有关 部门 关注
1246,北辰区姚江东路都市桃源到万达新城路段机动车随意占道停放，本身此路段不宽，容易造成长时间拥堵，给过往车辆及行人造成不便，望有关部门处理,北辰区 姚 江东 路 都市 桃源 到 万达 新城 路段 机动车 随意 占 道 停放 ， 本身 此 路段 不 宽 ， 容易 造成 长时间 拥堵 ， 给 过往 车辆 及 行人 造成 不便 ， 望 有关 部门 处理
1247, 天津河北区凤凰路道路两侧有好几家洗车店经常把水洒到道路上由于天气寒冷导致路面结冰严重影响了行人和车辆的出行安全，望有关部分加强管理,  天津 河北区 凤凰 路 道路 两侧 有 好几家 洗车 店 经常 把 水洒 到 道路 上 由于 天气 寒冷 导致 路面 结冰 严重 影响 了 行人 和 车辆 的 出行 安全 ， 望 有关 部分 加强 管理
1248,大直沽西路往直沽桥方向，行人和非机动车共用一条车道已经挺危险了，个别机动车司机为了自己方便都开到非机动车道上，真的非常危险。 ???对过往行人造成了安全隐患,大直 沽 西路 往 直沽桥 方向 ， 行人 和 非机动车 共用 一条 车道 已经 挺 危险 了 ， 个别 机动车 司机 为了 自己 方便 都 开到 非机动车 道 上 ， 真的 非常 危险 。   ? ? ? 对 过往行人 造成 了 安全隐患
1249,红桥区中嘉花园现一楼住户民宅商用，不符合规定不说，且经营餐饮，卫生和消防隐患都存在。现消防安全如此重视，而且起火事件此起彼伏，希望引起重视。,红桥区 中嘉 花园 现 一楼 住户 民宅 商用 ， 不 符合规定 不说 ， 且 经营 餐饮 ， 卫生 和 消防 隐患 都 存在 。 现 消防安全 如此 重视 ， 而且 起火 事件 此起彼伏 ， 希望 引起 重视 。
1250,南开区凌宾路时代奥城与水滴中间一段因地铁施工后整修，拆除中间栏杆，弄隔离带装饰，希望能设置人行横道设施，过马路时始终心里紧张，跟车抢路，尤其早晚高峰车多人多，很容易出事。,南开区 凌宾路 时代 奥城 与 水滴 中间 一段 因 地铁 施工 后 整修 ， 拆除 中间 栏杆 ， 弄 隔离带 装饰 ， 希望 能 设置 人行横道 设施 ， 过 马路 时 始终 心里 紧张 ， 跟车 抢路 ， 尤其 早晚 高峰 车 多人多 ， 很 容易 出事 。
1251,中山门南里私搭乱盖火灾已经一个多星期了，火灾遗留物也没有相关部门清理，小区进出口本来就没几个，对居民出行造成不便。,中山门 南里 私 搭 乱盖 火灾 已经 一个多 星期 了 ， 火灾 遗留物 也 没有 相关 部门 清理 ， 小区 进出口 本来 就 没 几个 ， 对 居民 出行 造成 不便 。
1252,中山门南里私搭乱盖火灾已经一个多星期了，火灾遗留物也没有相关部门清理，小区进出口本来就没几个，对居民出行造成不便。,中山门 南里 私 搭 乱盖 火灾 已经 一个多 星期 了 ， 火灾 遗留物 也 没有 相关 部门 清理 ， 小区 进出口 本来 就 没 几个 ， 对 居民 出行 造成 不便 。
1253,铭士堂洗浴位于大寺镇龙泉道16号，一楼二楼三楼均有多名小弟望风相互通告，二楼每晚九点半有演绎， 二楼至三楼楼梯口写有最低消费139元， 实则提供卖淫嫖娼的最低费用， 到三楼可直接看见有粉色灯光的透明玻璃窗内座有二十多位小姐，带客人进入房间后商量价钱，进行卖淫嫖娼的交易 经周围民众反映多次举报无果。,铭士堂 洗浴 位于 大寺 镇 龙泉 道 16 号 ， 一楼 二楼 三楼 均 有 多名 小弟 望风 相互 通告 ， 二楼 每晚 九点半 有 演绎 ，   二楼 至三楼 楼梯口 写 有 最低 消费 139 元 ，   实则 提供 卖淫嫖娼 的 最低 费用 ，   到 三楼 可 直接 看见 有 粉色 灯光 的 透明 玻璃窗 内座 有 二十多位 小姐 ， 带 客人 进入 房间 后 商量 价钱 ， 进行 卖淫嫖娼 的 交易   经 周围 民众 反映 多次 举报 无果 。
1254,据群众反映位于天津市河西区宾水桥宾水南里17号楼49门附近，废品垃圾严重占用消防通道，红色屋顶和对面的小屋属于私搭乱盖，希望有关部门治理一下。 ???,据 群众反映 位于 天津市 河西区 宾水桥 宾水南里 17 号楼 49 门 附近 ， 废品 垃圾 严重 占用 消防通道 ， 红色 屋顶 和 对面 的 小屋 属于 私 搭 乱盖 ， 希望 有关 部门 治理 一下 。   ? ? ?
1255,据群众反映天津市西青区津静公路22号天津农学院东校区校门口便道小树林里近期有一名五六十岁男子无论白天黑夜专门跟踪过往单身女学生显露生殖器并且用下流言语进行骚扰，希望有关部门予以治理,据 群众反映 天津市 西青区 津静 公路 22 号 天津 农学院 东校区 校门口 便 道 小树林 里 近期 有 一名 五六十岁 男子 无论 白天黑夜 专门 跟踪 过往 单身 女 学生 显露 生殖器 并且 用 下流 言语 进行 骚扰 ， 希望 有关 部门 予以 治理
1256,东马路新安花园小区一侧的便道和盲道被收费停车场占据了很长时间了，行人无法行走，只能到机动车道上行走，带来很大的危险，此停车场非法占道且并非公众停车人员。,东 马路 新安 花园 小区 一侧 的 便 道 和 盲道 被 收费 停车场 占据 了 很 长时间 了 ， 行人 无法 行走 ， 只能 到 机动车道 上 行走 ， 带来 很大 的 危险 ， 此 停车场 非法 占道 且 并非 公众 停车 人员 。
1257,南开区华苑居华里28号楼1门近日有人员（可能是地下室租住人员）将一楼楼道当成废品仓库，堆积了大量折叠好的纸箱子和大量塑料瓶。  请综治等部门予以清理，消除隐患，还居民整洁环境，十分感谢。,南开区 华苑 居 华里 28 号楼 1 门 近日 有 人员 （ 可能 是 地下室 租住 人员 ） 将 一楼 楼道 当成 废品 仓库 ， 堆积 了 大量 折叠 好 的 纸 箱子 和 大量 塑料瓶 。     请 综治 等 部门 予以 清理 ， 消除隐患 ， 还 居民 整洁 环境 ， 十分 感谢 。
1258,据群众反映，趟口如意园旁十一经路立交桥下，一个井盖已经开裂，已经经不起过路车辆碾压，旁无明显标示，有严重的安全隐患，望有关部门关注,据 群众反映 ， 趟 口 如意 园旁 十一 经路 立交桥 下 ， 一个 井盖 已经 开裂 ， 已经 经不起 过路 车辆 碾压 ， 旁 无 明显 标示 ， 有 严重 的 安全隐患 ， 望 有关 部门 关注
1259,据群众反映，东丽区津滨大道雪莲桥附近，有不法分子贩卖假的玻璃水，给私家车 摩托车售卖私油等情况出现，行为极其恶略 望有关部门关注,据 群众反映 ， 东丽区 津滨 大道 雪莲 桥 附近 ， 有 不法分子 贩卖 假 的 玻璃水 ， 给 私家车   摩托车 售卖 私油 等 情况 出现 ， 行为 极其 恶略   望 有关 部门 关注
1260,西青区保山西道部分路段，存在道路坑洼的问题，还有部分井盖凸起，给过往的车辆带来不便，存在一定的安全隐患，望有关部门抓紧治理，杜绝交通隐患,西青区 保 山西 道 部分 路段 ， 存在 道路 坑洼 的 问题 ， 还有 部分 井盖 凸起 ， 给 过往 的 车辆 带来 不便 ， 存在 一定 的 安全隐患 ， 望 有关 部门 抓紧 治理 ， 杜绝 交通 隐患
1261,河东区万东路阳明理小区环境脏乱差?，小区目前没有物业，所以管理很乱，居民私自搭建，占用小区公共绿地，作为自家菜地，小区还堆放了好多装修垃圾，无人清理，楼道的灯也不亮，这个小区住的大部分都是老人，出行特别不方便，还有小区门口的好多底商都是卖出租车的，他们每天把出租车停在便道上，严重影响了居民的出行，有的甚至把盲道都占用了，安全隐患很大。,河东区 万 东路 阳明 理 小区 环境 脏乱差 ? ， 小区 目前 没有 物业 ， 所以 管理 很 乱 ， 居民 私自 搭建 ， 占用 小区 公共绿地 ， 作为 自家 菜地 ， 小区 还 堆放 了 好多 装修 垃圾 ， 无人 清理 ， 楼道 的 灯 也 不亮 ， 这个 小区 住 的 大部分 都 是 老人 ， 出行 特别 不 方便 ， 还有 小区 门口 的 好多 底 商都 是 卖 出租车 的 ， 他们 每天 把 出租车 停 在 便 道 上 ， 严重 影响 了 居民 的 出行 ， 有 的 甚至 把 盲道 都 占用 了 ， 安全隐患 很大 。
1262,河东区和睦息道中山门北里有一个大众浴池，每天从早晨6点至23:00开始运水，运水车在和睦西道导致车辆拥堵以外，由于天气寒冷，运水车在运输过程中由于漏水导致道路结冰，长期没人管理，给周围居民出行带来很到困扰。,河东区 和睦 息道 中山门 北里 有 一个 大众 浴池 ， 每天 从 早晨 6 点至 23 : 00 开始 运水 ， 运 水车 在 和睦 西道 导致 车辆 拥堵 以外 ， 由于 天气 寒冷 ， 运 水车 在 运输 过程 中 由于 漏水 导致 道路 结冰 ， 长期 没 人 管理 ， 给 周围 居民 出行 带来 很到 困扰 。
1263,天津市河北区王串场盛宇里3号楼附近，卖早点的商贩向马路上排放污水，至使道路结冰，不少行人滑倒，请有关部门注意治理。,天津市 河北区 王 串场 盛宇里 3 号楼 附近 ， 卖 早点 的 商贩 向 马路上 排放 污水 ， 至 使 道路 结冰 ， 不少 行人 滑倒 ， 请 有关 部门 注意 治理 。
1264,天津市河北区，华昌道附近。交通信号灯时长太短，至使，道路拥堵，追尾事故频发，有的司机为了夹道而发生追尾事故，请有关交管部门注意治理,天津市 河北区 ， 华昌道 附近 。 交通 信号灯 时 长 太短 ， 至 使 ， 道路 拥堵 ， 追尾 事故 频发 ， 有 的 司机 为了 夹道 而 发生 追尾 事故 ， 请 有关 交管部门 注意 治理
1265,天津越秀路路边一辆车占了整个人行横道，连盲道都堵上了。外面还有一排车停在非机动车道上，行人都要从机动车道上走，绕过去。明明不远处就有停车位置，为了自己进出小区方便就堵在人行横道，希望有关部门及时处理。,天津 越秀 路 路边 一辆车 占 了 整个 人行横道 ， 连 盲道 都 堵 上 了 。 外面 还有 一排 车停 在 非机动车 道 上 ， 行人 都 要 从 机动车道 上 走 ， 绕过去 。 明明 不远处 就 有 停车 位置 ， 为了 自己 进出 小区 方便 就 堵 在 人行横道 ， 希望 有关 部门 及时处理 。
1266,据群众反应，近期月牙河道看到，十多名儿童正在月牙河冰面上嬉戏。一名中年男子在教孩子们滑冰，十几名带着头盔和护膝的儿童正在冰面上练习。距他们不远处，一名男子凿开冰面垂钓。河面上还有几位穿着校服的学生在冰面上溜冰，他们还不时用手中的木棒击打冰层，试图在冰面上砸出冰窟。桥下方的冰面并没有冻实，依旧可以看到水。行为非常危险，希望有关部门进行处理。,据 群众 反应 ， 近期 月牙 河道 看到 ， 十多名 儿童 正在 月牙 河 冰面 上 嬉戏 。 一名 中年男子 在 教 孩子 们 滑冰 ， 十几名 带 着 头盔 和 护膝 的 儿童 正在 冰面 上 练习 。 距 他们 不远处 ， 一名 男子 凿开 冰面 垂钓 。 河面上 还有 几位 穿着 校服 的 学生 在 冰面 上 溜冰 ， 他们 还 不时 用 手中 的 木棒 击打 冰层 ， 试图 在 冰面 上 砸 出 冰窟 。 桥下 方 的 冰面 并 没有 冻实 ， 依旧 可以 看到 水 。 行为 非常 危险 ， 希望 有关 部门 进行 处理 。
1267,据群众反应，南程林与北程林交界处，一处废品收购站起火。那是一片数百家废品收购点和各类食品加工小作坊集聚区，火势一旦蔓延，后果难料。希望有关部门进行处理。,据 群众 反应 ， 南程林 与 北程林 交界处 ， 一处 废品收购 站 起火 。 那 是 一片 数百家 废品收购 点 和 各类 食品 加工 小作坊 集聚 区 ， 火势 一旦 蔓延 ， 后果 难料 。 希望 有关 部门 进行 处理 。
1268,据群众反映，地铁九号线十一经路站附近华润万家购物中心门口共享单车和私人自行车、电动车乱停乱放影响过往车辆通行，希望有关部门予以治理。,据 群众反映 ， 地铁 九号 线 十一 经路 站 附近 华润 万家 购物中心 门口 共享 单车 和 私人 自行车 、 电动车 乱 停 乱放 影响 过往 车辆通行 ， 希望 有关 部门 予以 治理 。
